X--Trace 1::[Channel A],Y--Trace 1::[Channel A],Y--Trace 2::[Channel B]
0.00311901,15.6641,1.46535
0.00312901,15.6886,1.47395
0.00313901,15.7128,1.48255
0.00314901,15.7369,1.49116
0.00315901,15.7607,1.49978
0.00316901,15.7844,1.50841
0.00317901,15.8077,1.51705
0.00318901,15.8309,1.5257
0.00319901,15.8538,1.53436
0.00320901,15.8766,1.54304
0.00321901,15.899,1.55172
0.00322901,15.9213,1.5604
0.00323901,15.9433,1.5691
0.00324901,15.9651,1.57781
0.00325901,15.9867,1.58653
0.00326901,16.0081,1.59525
0.00327901,16.0292,1.60398
0.00328901,16.0501,1.61272
0.00329901,16.0708,1.62147
0.00330901,16.0912,1.63023
0.00331901,16.1114,1.63899
0.00332901,16.1314,1.64777
0.00333901,16.1512,1.65655
0.00334901,16.1707,1.66533
0.00335901,16.19,1.67413
0.00336901,16.209,1.68293
0.00337901,16.2279,1.69173
0.00338901,16.2465,1.70055
0.00339901,16.2649,1.70937
0.00340901,16.283,1.71819
0.00341901,16.3009,1.72703
0.00342901,16.3186,1.73586
0.00343901,16.336,1.74471
0.00344901,16.3532,1.75356
0.00345901,16.3702,1.76241
0.00346901,16.387,1.77127
0.00347901,16.4035,1.78014
0.00348901,16.4198,1.78901
0.00349901,16.4358,1.79788
0.00350901,16.4516,1.80676
0.00351901,16.4672,1.81565
0.00352901,16.4826,1.82453
0.00353901,16.4977,1.83343
0.00354901,16.5126,1.84232
0.00355901,16.5272,1.85122
0.00356901,16.5416,1.86013
0.00357901,16.5558,1.86903
0.00358901,16.5697,1.87794
0.00359901,16.5835,1.88685
0.00360901,16.5969,1.89577
0.00361901,16.6102,1.90469
0.00362901,16.6232,1.91361
0.00363901,16.6359,1.92253
0.00364901,16.6484,1.93146
0.00365901,16.6607,1.94039
0.00366901,16.6728,1.94932
0.00367901,16.6846,1.95825
0.00368901,16.6962,1.96718
0.00369901,16.7075,1.97612
0.00370901,16.7186,1.98505
0.00371901,16.7295,1.99399
0.00372901,16.7401,2.00293
0.00373901,16.7505,2.01187
0.00374901,16.7606,2.02081
0.00375901,16.7706,2.02975
0.00376901,16.7802,2.03869
0.00377901,16.7897,2.04763
0.00378901,16.7989,2.05657
0.00379901,16.8078,2.0655
0.00380901,16.8165,2.07444
0.00381901,16.825,2.08338
0.00382901,16.8333,2.09232
0.00383901,16.8413,2.10126
0.00384901,16.849,2.11019
0.00385901,16.8565,2.11913
0.00386901,16.8638,2.12806
0.00387901,16.8709,2.13699
0.00388901,16.8777,2.14592
0.00389901,16.8842,2.15485
0.00390901,16.8906,2.16378
0.00391901,16.8967,2.1727
0.00392901,16.9025,2.18162
0.00393901,16.9081,2.19054
0.00394901,16.9135,2.19946
0.00395901,16.9186,2.20837
0.00396901,16.9235,2.21728
0.00397901,16.9281,2.22619
0.00398901,16.9325,2.23509
0.00399901,16.9367,2.24399
0.00400901,16.9406,2.25289
0.00401901,16.9443,2.26178
0.00402901,16.9477,2.27067
0.00403901,16.9509,2.27955
0.00404901,16.9539,2.28843
0.00405901,16.9566,2.29731
0.00406901,16.9591,2.30618
0.00407901,16.9613,2.31504
0.00408901,16.9633,2.3239
0.00409901,16.965,2.33276
0.00410901,16.9666,2.34161
0.00411901,16.9678,2.35045
0.00412901,16.9689,2.35929
0.00413901,16.9696,2.36813
0.00414901,16.9702,2.37695
0.00415901,16.9705,2.38577
0.00416901,16.9706,2.39459
0.00417901,16.9704,2.4034
0.00418901,16.97,2.4122
0.00419901,16.9693,2.42099
0.00420901,16.9684,2.42978
0.00421901,16.9673,2.43856
0.00422901,16.9659,2.44733
0.00423901,16.9643,2.4561
0.00424901,16.9624,2.46486
